News Pull,2022-10-05 15:00:05.000,2022-10-05 15:00:16.000
NewsDriver.ps1,2022-10-05 16:00:08.000,2022-10-05 16:00:18.000
News Pull,2022-10-05 16:00:09.000,2022-10-05 16:00:18.000
NewsDriver.ps1,2022-10-05 17:00:06.000,2022-10-05 17:00:20.000
News Pull,2022-10-05 17:00:07.000,2022-10-05 17:00:20.000
NewsDriver.ps1,2022-10-05 18:00:22.000,2022-10-05 18:00:33.000
News Pull,2022-10-05 18:00:23.000,2022-10-05 18:00:33.000
NewsDriver.ps1,2022-10-05 19:00:05.000,2022-10-05 19:00:26.000
News Pull,2022-10-05 19:00:06.000,2022-10-05 19:00:26.000
NewsDriver.ps1,2022-10-05 20:00:13.000,2022-10-05 20:00:26.000
News Pull,2022-10-05 20:00:14.000,2022-10-05 20:00:26.000
RubyDriver.ps1,2022-10-05 20:30:20.000,2022-10-05 20:36:29.000
Full Pull,2022-10-05 20:30:27.000,2022-10-05 20:36:29.000
GetPersonnelPics.ps1,2022-10-05 21:30:19.000,2022-10-05 21:30:21.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-05 23:00:18.000,2022-10-06 00:12:54.000
NewsDriver.ps1,2022-10-06 06:00:23.000,2022-10-06 06:00:39.000
News Pull,2022-10-06 06:00:24.000,2022-10-06 06:00:39.000
NewsDriver.ps1,2022-10-06 07:00:11.000,2022-10-06 07:00:23.000
News Pull,2022-10-06 07:00:12.000,2022-10-06 07:00:23.000
NewsDriver.ps1,2022-10-06 08:00:25.000,2022-10-06 08:00:33.000
News Pull,2022-10-06 08:00:26.000,2022-10-06 08:00:33.000
NewsDriver.ps1,2022-10-06 09:00:19.000,2022-10-06 09:00:31.000
News Pull,2022-10-06 09:00:20.000,2022-10-06 09:00:31.000
NewsDriver.ps1,2022-10-06 10:00:03.000,2022-10-06 10:00:28.000
News Pull,2022-10-06 10:00:04.000,2022-10-06 10:00:28.000
NewsDriver.ps1,2022-10-06 11:05:15.000,2022-10-06 11:05:22.000
News Pull,2022-10-06 11:05:15.000,2022-10-06 11:05:22.000
NewsDriver.ps1,2022-10-06 12:00:04.000,2022-10-06 12:00:14.000
News Pull,2022-10-06 12:00:05.000,2022-10-06 12:00:13.000
RubyDriver.ps1,2022-10-06 13:02:49.000,2022-10-06 13:03:14.000
Full Pull,2022-10-06 13:02:51.000,2022-10-06 13:03:14.000
NewsDriver.ps1,2022-10-06 13:05:12.000,2022-10-06 13:05:20.000
News Pull,2022-10-06 13:05:13.000,2022-10-06 13:05:20.000
RubyDriver.ps1,2022-10-06 13:21:02.000,2022-10-06 13:21:27.000
Full Pull,2022-10-06 13:21:03.000,2022-10-06 13:21:27.000
RubyDriver.ps1,2022-10-06 13:21:03.000,2022-10-06 13:21:27.000
Full Pull,2022-10-06 13:21:05.000,2022-10-06 13:21:27.000
NewsDriver.ps1,2022-10-06 14:00:05.000,2022-10-06 14:00:32.000
News Pull,2022-10-06 14:00:06.000,2022-10-06 14:00:32.000
NewsDriver.ps1,2022-10-06 15:00:18.000,2022-10-06 15:00:33.000
News Pull,2022-10-06 15:00:20.000,2022-10-06 15:00:33.000
NewsDriver.ps1,2022-10-06 16:00:07.000,2022-10-06 16:00:18.000
News Pull,2022-10-06 16:00:08.000,2022-10-06 16:00:18.000
NewsDriver.ps1,2022-10-06 17:00:26.000,2022-10-06 17:00:43.000
News Pull,2022-10-06 17:00:28.000,2022-10-06 17:00:43.000
NewsDriver.ps1,2022-10-06 18:00:20.000,2022-10-06 18:00:31.000
News Pull,2022-10-06 18:00:21.000,2022-10-06 18:00:30.000
NewsDriver.ps1,2022-10-06 19:00:03.000,2022-10-06 19:00:12.000
News Pull,2022-10-06 19:00:04.000,2022-10-06 19:00:12.000
NewsDriver.ps1,2022-10-06 20:05:09.000,2022-10-06 20:05:16.000
News Pull,2022-10-06 20:05:09.000,2022-10-06 20:05:16.000
RubyDriver.ps1,2022-10-06 20:30:05.000,2022-10-06 20:36:31.000
Full Pull,2022-10-06 20:30:14.000,2022-10-06 20:36:31.000
GetPersonnelPics.ps1,2022-10-06 21:30:12.000,2022-10-06 21:30:20.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-06 23:00:22.000,2022-10-07 00:16:29.000
NewsDriver.ps1,2022-10-07 06:00:06.000,2022-10-07 06:00:16.000
News Pull,2022-10-07 06:00:07.000,2022-10-07 06:00:16.000
NewsDriver.ps1,2022-10-07 07:00:06.000,2022-10-07 07:00:13.000
News Pull,2022-10-07 07:00:06.000,2022-10-07 07:00:13.000
NewsDriver.ps1,2022-10-07 08:00:09.000,2022-10-07 08:00:19.000
News Pull,2022-10-07 08:00:10.000,2022-10-07 08:00:19.000
NewsDriver.ps1,2022-10-07 09:00:18.000,2022-10-07 09:00:25.000
News Pull,2022-10-07 09:00:18.000,2022-10-07 09:00:25.000
NewsDriver.ps1,2022-10-07 10:00:20.000,2022-10-07 10:00:32.000
News Pull,2022-10-07 10:00:21.000,2022-10-07 10:00:32.000
NewsDriver.ps1,2022-10-07 11:00:04.000,2022-10-07 11:00:14.000
News Pull,2022-10-07 11:00:05.000,2022-10-07 11:00:14.000
NewsDriver.ps1,2022-10-07 12:05:08.000,2022-10-07 12:05:16.000
News Pull,2022-10-07 12:05:09.000,2022-10-07 12:05:15.000
NewsDriver.ps1,2022-10-07 13:00:04.000,2022-10-07 13:00:12.000
News Pull,2022-10-07 13:00:05.000,2022-10-07 13:00:12.000
NewsDriver.ps1,2022-10-07 14:05:10.000,2022-10-07 14:05:14.000
News Pull,2022-10-07 14:05:10.000,2022-10-07 14:05:14.000
NewsDriver.ps1,2022-10-07 15:00:25.000,2022-10-07 15:00:31.000
News Pull,2022-10-07 15:00:27.000,2022-10-07 15:00:31.000
NewsDriver.ps1,2022-10-07 16:00:05.000,2022-10-07 16:00:10.000
News Pull,2022-10-07 16:00:06.000,2022-10-07 16:00:09.000
NewsDriver.ps1,2022-10-07 17:00:11.000,2022-10-07 17:00:15.000
News Pull,2022-10-07 17:00:11.000,2022-10-07 17:00:15.000
NewsDriver.ps1,2022-10-07 18:00:17.000,2022-10-07 18:00:21.000
News Pull,2022-10-07 18:00:17.000,2022-10-07 18:00:21.000
NewsDriver.ps1,2022-10-07 19:00:03.000,2022-10-07 19:00:23.000
News Pull,2022-10-07 19:00:04.000,2022-10-07 19:00:23.000
NewsDriver.ps1,2022-10-07 20:00:16.000,2022-10-07 20:00:21.000
News Pull,2022-10-07 20:00:17.000,2022-10-07 20:00:21.000
RubyDriver.ps1,2022-10-07 20:30:17.000,2022-10-07 20:31:19.000
Full Pull,2022-10-07 20:30:20.000,2022-10-07 20:31:19.000
GetPersonnelPics.ps1,2022-10-07 21:30:14.000,2022-10-07 21:30:18.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-07 23:00:14.000,2022-10-08 00:18:53.000
NewsDriver.ps1,2022-10-08 06:00:34.000,2022-10-08 06:00:49.000
News Pull,2022-10-08 06:00:37.000,2022-10-08 06:00:48.000
NewsDriver.ps1,2022-10-08 07:05:20.000,2022-10-08 07:05:24.000
News Pull,2022-10-08 07:05:20.000,2022-10-08 07:05:24.000
NewsDriver.ps1,2022-10-08 08:00:05.000,2022-10-08 08:00:10.000
News Pull,2022-10-08 08:00:06.000,2022-10-08 08:00:09.000
NewsDriver.ps1,2022-10-08 09:00:05.000,2022-10-08 09:00:11.000
News Pull,2022-10-08 09:00:06.000,2022-10-08 09:00:11.000
NewsDriver.ps1,2022-10-08 10:00:17.000,2022-10-08 10:00:25.000
